Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD98205998	PH (Phono)	Paris vous parle	Le conseil de l'Uri : clôture	04/04/1957	04/04/1957	19:15:01		"Interview entretien ; Journal parlé ; "	"Education pédagogie ; Média ; "	00:03:11
PHD98205999	PH (Phono)	Paris vous parle	L'accroissement de l'exportation de vins français	04/04/1957	04/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:01:36
PHD98206003	PH (Phono)	Paris vous parle	Algérie : campagne de discrédit contre les autorités françaises	05/04/1957	05/04/1957	19:15:01		"Journal parlé ; "	"Politique ; "	00:02:23
PHD98206004	PH (Phono)	Paris vous parle	Un congrès africain au Maroc	05/04/1957	05/04/1957	19:15:00		"Journal parlé ; "	"Education pédagogie ; "	00:01:30
PHD98206006	PH (Phono)	Paris vous parle	Construction d'un port pétrolier en Israël	05/04/1957	05/04/1957	19:15:00		"Journal parlé ; "	"Education pédagogie ; "	00:01:47
PHD98206007	PH (Phono)	Paris vous parle	Sortie du livre blanc anglais sur leur nouvelle politique militaire	05/04/1957	05/04/1957	19:15:00		"Journal parlé ; "	"Education pédagogie ; "	00:02:25
PHD98206009	PH (Phono)	Paris vous parle	40ème anniversaire de l'entrée en guerre des USA contre l'Allemagne	05/04/1957	05/04/1957	19:15:00		"Journal parlé ; "	"Education pédagogie ; "	00:01:56
PHD98206010	PH (Phono)	Paris vous parle	Congrès de la fédération mondiale des anciens combattants	05/04/1957	05/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:01:58
PHD98206014	PH (Phono)	Paris vous parle	La commission de sauvegarde des droits et libertés individuelles	06/04/1957	06/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:56
PHD98206016	PH (Phono)	Paris vous parle	********************	06/04/1957	06/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98206019	PH (Phono)	Paris vous parle	Congrès de la thalassothérapie à Cannes	06/04/1957	06/04/1957	19:15:00		"Déclaration ; Journal parlé ; "	"Loisirs ; Médecine santé ; "	00:01:36
PHD98206020	PH (Phono)	Paris vous parle	La veille du Paris Roubaix	06/04/1957	06/04/1957	19:15:00		"Journal parlé ; "	"Information ; Sports ; "	00:02:53
PHD98206021	PH (Phono)	Paris vous parle	Voyage de la Reine ELIZABETH II en France : description du protocole à l'aéroport de Londres	07/04/1957	07/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; "	00:03:05
PHD98206022	PH (Phono)	Paris vous parle	Depuis EL arisch	07/04/1957	07/04/1957	19:15:00		"Journal parlé ; "	"Industrie ; Politique ; "	00:03:57
PHD98206023	PH (Phono)	Paris vous parle	Motion des professeurs de l'université d'Alger	07/04/1957	07/04/1957	19:15:02		"Journal parlé ; Papier ; "	"Politique ; "	00:02:32
PHD98206024	PH (Phono)	Paris vous parle	Visite de Guy MOLLET à Tourcoing	07/04/1957	07/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Information ; Politique ; "	00:02:27
PHD98206025	PH (Phono)	Paris vous parle	Prochaine venue en France de MARSHALL smith	07/04/1957	07/04/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Information ; Politique ; "	00:03:42
PHD98206030	PH (Phono)	Paris vous parle	L'ouverture du canal de Suez	08/04/1957	08/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:31
PHD98206031	PH (Phono)	Paris vous parle	Catastrophe aérienne en Algérie	08/04/1957	08/04/1957	19:15:05		"Journal parlé ; Papier ; "	"Industrie ; "	00:01:35
PHD98206032	PH (Phono)	Paris vous parle	Visite de N'KRUMAH en Côte d'Ivoire	08/04/1957	08/04/1957	19:15:01		"Journal parlé ; Papier ; "	"Politique ; "	00:02:08
PHD98206037	PH (Phono)	Paris vous parle	Ouverture du canal de Suez	09/04/1957	09/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:05
PHD98206038	PH (Phono)	Paris vous parle	Antony EDEN va être opéré à boston	09/04/1957	09/04/1957	19:15:00		"Journal parlé ; "	"Médecine santé ; Politique ; "	00:00:35
PHD98206039	PH (Phono)	Paris vous parle	L'acheminement du pétrole en Israël	09/04/1957	09/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:27
PHD98206040	PH (Phono)	Paris vous parle	Les fonctionnaires français resteront au Maroc	09/04/1957	09/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:02:15
PHD98206041	PH (Phono)	Paris vous parle	Voyage de la Reine ELIZABETH II en France : à Versailles	09/04/1957	09/04/1957	19:15:00		"Déclaration ; Journal parlé ; "	"Politique ; "	00:14:50
PHD98206043	PH (Phono)	Paris vous parle	"Inauguration de la ""maison des Pyrénées"""	09/04/1957	09/04/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Tourisme ; "	00:02:45
PHD98206050	PH (Phono)	Paris vous parle	Jérusalem : démission de souleman aboussi	10/04/1957	10/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:35
PHD98206052	PH (Phono)	Paris vous parle	L'enseignement français au Maroc	10/04/1957	10/04/1957	19:15:00		"Journal parlé ; "	"Education pédagogie ; "	00:02:06
PHD98206053	PH (Phono)	Paris vous parle	Le voyage de la reine d'Angleterre en France	10/04/1957	10/04/1957	19:15:10		"Journal parlé ; "	"Industrie ; "	00:05:30
PHD98206061	PH (Phono)	Paris vous parle	La crise jordanienne	11/04/1957	11/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:19
PHD98206062	PH (Phono)	Paris vous parle	La crise jordanienne	11/04/1957	11/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98206063	PH (Phono)	Paris vous parle	Voyage de la Reine ELIZABETH II en France : dans le Nord de la France à Roubaix et à Lille	11/04/1957	11/04/1957	19:15:00		"Bruitage image sonore ; Journal parlé ; "	"Information ; Politique ; "	00:03:20
PHD98206065	PH (Phono)	Paris vous parle	Création d'une commission d'étude pour la frontière sud Marocaine	11/04/1957	11/04/1957	19:15:02		"Journal parlé ; Papier ; "	"Politique ; "	00:02:14
PHD98206066	PH (Phono)	Paris vous parle	Les relations franco-tunisienne	11/04/1957	11/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:00
PHD98206067	PH (Phono)	Paris vous parle	Course cycliste des gentleman	11/04/1957	11/04/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:01:59
PHD98206068	PH (Phono)	Paris vous parle	Réactions américaines à propos de la crise jordanienne	11/04/1957	11/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98206079	PH (Phono)	Paris vous parle	Agitation en Jordanie	13/04/1957	13/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:38
PHD98206080	PH (Phono)	Paris vous parle	La crise en Jordanie	13/04/1957	13/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:00:25
PHD98206081	PH (Phono)	Paris vous parle	Message de Robert LACOSTE aux armées en Algérie	13/04/1957	13/04/1957	19:15:03		"Journal parlé ; Papier ; "	"Politique ; "	00:03:18
PHD98206082	PH (Phono)	Paris vous parle	Révolte des savants atomistes allemands	13/04/1957	13/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; Sciences ; "	00:02:47
PHD98206083	PH (Phono)	Paris vous parle	Inondations dans la vallée du PO	13/04/1957	13/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:01:40
PHD98206084	PH (Phono)	Paris vous parle	Sauvetage en mer grâce à un hélicoptère	13/04/1957	13/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	
PHD98206085	PH (Phono)	Paris vous parle	Semaine LA FAYETTE à New York	13/04/1957	13/04/1957	19:15:00		"Bruitage image sonore ; Journal parlé ; "	"Information ; Politique ; "	
PHD98206086	PH (Phono)	Paris vous parle	Boxe	13/04/1957	13/04/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Sports ; "	00:01:33
PHD98206088	PH (Phono)	Paris vous parle	Le rebelle ALI la pointe	14/04/1957	14/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Politique ; "	
PHD98206091	PH (Phono)	Paris vous parle	Commentaire du discours de Guy MOLLET à Châlons sur Marne	14/04/1957	14/04/1957	19:15:01		"Journal parlé ; Papier ; Reportage ; "	"Information ; Politique ; "	00:02:10
PHD98206096	PH (Phono)	Paris vous parle	Washington approuve le coup de force du roi HUSSEIN de Jordanie	15/04/1957	15/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:27
PHD98206097	PH (Phono)	Paris vous parle	Découverte d'un complot en Jordanie	15/04/1957	15/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:20
PHD98206098	PH (Phono)	Paris vous parle	Les savants allemands condamnent l'arme atomique	15/04/1957	15/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	00:02:13
PHD98206099	PH (Phono)	Paris vous parle	A Sétif, un camion et ses hommes ont été enlevé	15/04/1957	15/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:54
PHD98206111	PH (Phono)	Paris vous parle	Décès de Maurice VAN MOPPES	16/04/1957	16/04/1957	19:15:01		"Déclaration ; Interview entretien ; Journal parlé ; "	"Beaux arts ; Information ; "	00:01:25
PHD98206113	PH (Phono)	Paris vous parle	Etat de la grève des transports en province	17/04/1957	17/04/1957	19:15:00		"Journal parlé ; "	"Industrie ; Information ; "	
PHD98206115	PH (Phono)	Paris vous parle	Retour d'exil de l'archevêque Makarios	17/04/1957	17/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:55
PHD98206116	PH (Phono)	Paris vous parle	La livraison du pétrole en Israël	17/04/1957	17/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:33
PHD98206117	PH (Phono)	Paris vous parle	Opposition des savants allemands l'arme nucléaire	17/04/1957	17/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:40
PHD98206138	PH (Phono)	Paris vous parle	La course automobile	21/04/1957	21/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Sports ; "	00:02:40
PHD98206144	PH (Phono)	Paris vous parle	Joséphine BAKER au retour d'une tournée	21/04/1957	21/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Variétés ; "	00:02:00
PHD98206146	PH (Phono)	Paris vous parle	Noyade d'un spéléologue	22/04/1957	22/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Aventure exploration ; Sports ; "	00:03:00
PHD98206147	PH (Phono)	Paris vous parle	Alger, journée calme	22/04/1957	22/04/1957	19:15:01		"Journal parlé ; "	"Politique ; "	00:02:15
PHD98206148	PH (Phono)	Paris vous parle	Troupes irakiennes en Jordanie	22/04/1957	22/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:35
PHD98206149	PH (Phono)	Paris vous parle	Le point sur le Moyen-Orient	22/04/1957	22/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:38
PHD98206152	PH (Phono)	Paris vous parle	Le voyage de Jean Marie LOUVEL en Afrique française	06/05/1957	25/04/1957	19:45:00		"Interview entretien ; Journal parlé ; "	"Industrie ; Information ; "	00:07:20
PHD98206157	PH (Phono)	Paris vous parle	Une délégation soviétique à Vienne	24/04/1957	24/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:30
PHD98206158	PH (Phono)	Paris vous parle	Grève dans le calme en Jordanie	24/04/1957	24/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:25
PHD98206159	PH (Phono)	Paris vous parle	Fermeture de la frontière jordano-Syrienne	24/04/1957	24/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:25
PHD98206160	PH (Phono)	Paris vous parle	L'ONU et les suites de l'affaire de Suez	24/04/1957	24/04/1957	19:15:00		"Déclaration ; Interview entretien ; Journal parlé ; "	"Politique ; "	00:01:05
PHD98206161	PH (Phono)	Paris vous parle	La Tunisie et les fonctionnaires français	24/04/1957	24/04/1957	19:15:00		"Journal parlé ; "	"Information ; Politique ; "	00:01:25
PHD98206162	PH (Phono)	Paris vous parle	Polémique en Allemagne après les propos d'Albert Schweitzer contre la bombe atomique	24/04/1957	24/04/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; Sciences exactes ; "	00:02:00
PHD98206169	PH (Phono)	Paris vous parle	La flotte Américaine appareille pour le Liban	26/04/1957	26/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:32:00
PHD98206188	PH (Phono)	Paris vous parle	Algérie : règlement de comptes entre FLN et MNA	27/04/1957	27/04/1957	19:15:05		"Journal parlé ; Papier ; "	"Politique ; "	00:00:44
PHD98206192	PH (Phono)	Paris vous parle	Arrestation d'un fabriquant de bombes à Alger	28/04/1957	28/04/1957	19:15:01		"Interview entretien ; Journal parlé ; "	"Politique ; "	00:01:10
PHD98206200	PH (Phono)	Paris vous parle	Paris vous parle de 19h15 du 30 avril 1957	30/04/1957	30/04/1957	19:15:00		"Journal parlé ; "	"Information ; "	00:31:00
PHD98206201	PH (Phono)	Paris vous parle	L'aide des Etats-Unis à la Jordanie	30/04/1957	30/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:00
PHD98206202	PH (Phono)	Paris vous parle	Londres, rentrée de la chambre des communes	30/04/1957	30/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:01:44
PHD98206203	PH (Phono)	Paris vous parle	Préparation du 1er mai au Maroc	30/04/1957	30/04/1957	19:15:00		"Journal parlé ; "	"Politique ; "	00:02:15
PHD98206204	PH (Phono)	Paris vous parle	Tunis fait des propositions aux enseignants français	30/04/1957	30/04/1957	19:15:01		"Journal parlé ; "	"Politique ; "	00:01:54
PHD98206205	PH (Phono)	Paris vous parle	Hommage au Cardinal SALLIEGE à Paris	30/04/1957	30/04/1957	19:15:00		"Journal parlé ; "	"Histoire ; Religion ; "	00:02:00
PHD98206207	PH (Phono)	Paris vous parle	Echos du 10ème Festival de Cannes	03/05/1957	03/05/1957			"Journal parlé ; "	"Cinéma ; "	00:02:35
PHD98206209	PH (Phono)	Paris vous parle	Visite de l'ambassadeur américain à Jérusalem	03/05/1957	03/05/1957			"Journal parlé ; "	"Politique ; "	00:01:50
PHD98206210	PH (Phono)	Paris vous parle	CHURCHILL et la crise de Suez	03/05/1957	03/05/1957			"Journal parlé ; "	"Politique ; "	00:02:10
PHD98206211	PH (Phono)	Paris vous parle	Bonn, session de L'OTAN sur la réunification allemande	03/05/1957	03/05/1957			"Journal parlé ; "	"Politique ; "	00:02:39
PHD98206212	PH (Phono)	Paris vous parle	Décès de MCCARTHY	03/05/1957	03/05/1957			"Journal parlé ; Papier ; "	"Politique ; "	00:01:25
PHD98207103	PH (Phono)	Paris vous parle	Enquête sur la santé mentale des Français	08/01/1956	08/01/1956			"Interview entretien ; Journal parlé ; "	"Médecine santé ; Sociologie ; "	
PHD98207104	PH (Phono)	Paris vous parle	Enquête sur la santé mentale des Français	09/01/1956	09/01/1956			"Interview entretien ; Journal parlé ; "	"Médecine santé ; Sociologie ; "	
PHD98207105	PH (Phono)	Paris vous parle	Enquête sur la santé mentale des Français	10/01/1956	23/12/1955			"Interview entretien ; Journal parlé ; "	"Médecine santé ; Sociologie ; "	
PHD98207163	PH (Phono)	Paris vous parle	Suite enquête sur la santé mentale des Français	07/01/1956	07/01/1956			"Interview entretien ; Journal parlé ; "	"Sociologie ; "	
PHD98207166	PH (Phono)	Paris vous parle	Paris vous parle du 6 janvier 1956	06/01/1956	06/01/1956			"Déclaration ; Interview entretien ; Journal parlé ; "	"Information ; "	
PHD98207167	PH (Phono)	Paris vous parle	Arrivée en France de ministres marocains	06/01/1956	06/01/1956			"Interview entretien ; Journal parlé ; Reportage ; "	"Information ; Politique ; "	00:02:00
PHD98207168	PH (Phono)	Paris vous parle	Conférence des états majors Marocains et Algériens à Oujda	06/01/1956	06/01/1956			"Journal parlé ; Papier ; "	"Politique ; "	00:02:13
PHD98207169	PH (Phono)	Paris vous parle	Fiançailles de RAINIER III et Grace KELLY : réactions	06/01/1956	06/01/1956			"Déclaration ; Interview entretien ; Journal parlé ; "	"Politique ; "	
PHD98207182	PH (Phono)	Paris vous parle	MAC MILLAN succède A EDEN	10/01/1957	10/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98207187	PH (Phono)	Paris vous parle	Evocation de la vie de Gabriella mistral	10/01/1957	10/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Littérature ; "	
PHD98207188	PH (Phono)	Paris vous parle	Les sports	10/01/1957	10/01/1957			"Interview entretien ; Journal parlé ; "	"Sports ; "	
PHD98207189	PH (Phono)	Paris vous parle	"Vernissage de l'exposition ""Gustave Geoffroy et l'art moderne"""	10/01/1957	10/01/1957			"Interview entretien ; Journal parlé ; "	"Beaux arts ; Littérature ; "	00:05:01
PHD98207196	PH (Phono)	Paris vous parle	Alger : ralentissement du terrorisme	12/01/1957	12/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98207199	PH (Phono)	Paris vous parle	Christian PINEAU à New York	12/01/1957	12/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:45
PHD98207201	PH (Phono)	Paris vous parle	Incidents en Pologne	13/01/1957	13/01/1957			"Journal parlé ; Papier ; "	"Politique ; "	00:03:01
PHD98207202	PH (Phono)	Paris vous parle	Elections sénatoriales dans le Haut-Rhin	13/01/1957	13/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:00:55
PHD98207203	PH (Phono)	Paris vous parle	Elections sénatoriales en Dordogne	13/01/1957	13/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:00:34
PHD98207204	PH (Phono)	Paris vous parle	Congrès des indépendants d'Outre Mer : création du bloc africain du progrès	13/01/1957	13/01/1957	19:15:01		"Déclaration ; Journal parlé ; Reportage ; "	"Politique ; "	00:02:35
PHD98207205	PH (Phono)	Paris vous parle	Retrait israélien du Sinaï	13/01/1957	13/01/1957	19:16:00		"Journal parlé ; Papier ; "	"Politique ; "	00:07:17
PHD98207206	PH (Phono)	Paris vous parle	Les évènements de Hongrie	13/01/1957	13/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	
PHD98207207	PH (Phono)	Paris vous parle	Croisière du souverain du Maroc	13/01/1957	13/01/1957	19:15:00		"Journal parlé ; "	"Tourisme ; "	
PHD98207209	PH (Phono)	Paris vous parle	Composition du ministère MACMILLAN	13/01/1957	13/01/1957	19:15:00		"Journal parlé ; "	"Politique ; "	
PHD98207213	PH (Phono)	Paris vous parle	Accord monétaire entre le Maroc et l'Espagne	14/01/1957	14/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:01:30
PHD98207214	PH (Phono)	Paris vous parle	Retrait des troupes israéliennes du Sinaï	14/01/1957	14/01/1957	19:45:00		"Journal parlé ; Papier ; "	"Politique ; "	00:04:25
PHD98207215	PH (Phono)	Paris vous parle	KHROUCHTCHEV en uzbekistan	14/01/1957	14/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:10
PHD98207216	PH (Phono)	Paris vous parle	Elections législatives en Pologne	14/01/1957	14/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:35
PHD98207217	PH (Phono)	Paris vous parle	Manifestations en Hongrie	14/01/1957	14/01/1957	19:15:00		"Journal parlé ; Papier ; "	"Politique ; "	00:02:30
PHD98207218	PH (Phono)	Paris vous parle	Le procès ADAMS	14/01/1957	14/01/1957			"Journal parlé ; "	"Information ; "	
PHD98207221	PH (Phono)	Paris vous parle	L'assemblée du conseil de la République	15/01/1957	15/01/1957	19:15:00		"Interview entretien ; Journal parlé ; "	"Information ; Politique ; "	00:02:22
